Listing Name,Price,Room Type,Reviews
"Light Soaked, Modern, Brooklyn Room",1504,Private room,5 reviews
Cozy Modern Room Available,1170,Private room,4 reviews
Ground Floor Apartment in Brooklyn!,1838,Private room,8 reviews
Large Bedstuy/Bushwick Room,1571,Private room,2 reviews
Williamsburg Bridge Studio,4077,Entire home/apt,18 reviews
Private Bedroom in friendly apt.,1337,Private room,14 reviews
Lovely Spacious Room near Park,3008,Private room,89 reviews
NYC Manhattan Bunk huge backyard!,1069,Shared room,21 reviews
Beautiful quiet room,1838,Private room,3 reviews
NW..Comfortable Room All Inclusive,1437,Private room,4 reviews
"King Bed, Private Room in Crown Heights, Comedian",1972,Private room,31 reviews
Family Friendly at the Park!,3509,Entire home/apt,
Private Room Brooklyn,8990,Private room,2 reviews
NEW Spacious Comfortable Room In Flatbush,3008,Private room,
BK Luxury RM ONLY 30min > Manhattan,1838,Private room,25 reviews
Airy BK Apartment with Private Deck,4345,Entire home/apt,13 reviews
Four stops to Manhattan!,2674,Private room,39 reviews
"Cozy, quiet room in Brooklyn",1170,Private room,4 reviews
Hip Room in Historic Bed-Stuy,2273,Private room,7 reviews
Stunning studio 25mins to Manhattan,3342,Entire home/apt,72 reviews
Cozy bedroom - Clinton Hill,1571,Private room,47 reviews
Bushwick room close to L&M trains,3342,Private room,38 reviews
Williamsburg Bridge Studio,4077,Entire home/apt,18 reviews
Private Bedroom in friendly apt.,1337,Private room,14 reviews
Lovely Spacious Room near Park,3008,Private room,89 reviews
NYC Manhattan Bunk huge backyard!,1069,Shared room,21 reviews
Beautiful quiet room,1838,Private room,3 reviews
NW..Comfortable Room All Inclusive,1437,Private room,4 reviews
"King Bed, Private Room in Crown Heights, Comedian",1972,Private room,31 reviews
Family Friendly at the Park!,3509,Entire home/apt,
Private Room Brooklyn,8990,Private room,2 reviews
NEW Spacious Comfortable Room In Flatbush,3008,Private room,
BK Luxury RM ONLY 30min > Manhattan,1838,Private room,25 reviews
Airy BK Apartment with Private Deck,4345,Entire home/apt,13 reviews
Four stops to Manhattan!,2674,Private room,39 reviews
"Cozy, quiet room in Brooklyn",1170,Private room,4 reviews
Hip Room in Historic Bed-Stuy,2273,Private room,7 reviews
Stunning studio 25mins to Manhattan,3342,Entire home/apt,72 reviews
Cozy bedroom - Clinton Hill,1571,Private room,47 reviews
Bushwick room close to L&M trains,3342,Private room,38 reviews
X-mas holiday 2 weeks in New York,2005,Private room,1 review
NEW Sunny BK 1-bedroom with Amazing Amenities!,3609,Entire home/apt,
"Spacious, Bright, & Modern Apt",5013,Entire home/apt,6 reviews
NYC Manhattan Bunk huge backyard!,1069,Shared room,21 reviews
Bushwick Artist Loft - Awesome Room,2640,Private room,13 reviews
Comfortable Cobble Hill Bedroom,2674,Private room,27 reviews
Super close to Subway! Quiet & Cozy,1838,Private room,49 reviews
Your Brooklyn Retreat,3409,Entire home/apt,5 reviews
1BR Brooklyn Artist Haven,3944,Entire home/apt,12 reviews
Williamsburg Bridge Studio,4077,Entire home/apt,18 reviews
Large room in cozy townhouse,2339,Private room,
Bed & Garden in Vibrant Bushwick!!!,2172,Private room,159 reviews
Super Comfortable Loft,3509,Entire home/apt,7 reviews
Bohemian Abode @Prospect Park,1838,Private room,5 reviews
Best Location in Brooklyn!,2674,Entire home/apt,4 reviews
Nice & Furnished Private Room!!!,1170,Private room,4 reviews
NEW Gorgeous Duplex Apartment with a Garden,5180,Entire home/apt,
Designer's Apt with View near Wburg,4980,Entire home/apt,3 reviews
Beautiful Bright Bedstuy apartment,4311,Entire home/apt,7 reviews
Big and cosy right next to subway,3643,Entire home/apt,2 reviews
Cozy and clean Brooklyn nook with loft bed!,2707,Entire home/apt,1 review
Great 175 sq ft private room in BK,2339,Private room,88 reviews
Cozy place to stay,1671,Private room,12 reviews
Unique Charming Hidden New York Urban Getaway,2841,Private room,1 review
Family Friendly at the Park!,3509,Entire home/apt,
5star review Beautiful&Spacious Apt,4345,Entire home/apt,2 reviews
Room in large apt w/ rooftop deck.,1671,Private room,4 reviews
"Comfy, family-friendly BedStuy apt",2172,Entire home/apt,4 reviews
Big House 3 Best Location w Outdoor,2306,Private room,1 review
1BD FULL APARTMENT: 20 min - Manhattan - Bay Ridge,2005,Entire home/apt,1 review
Luxury Apartment w/ Rooftop Patio,2172,Entire home/apt,
Gorgeous Extra Large Windowed Room,2172,Private room,
Sunny apartment in Brooklyn,2473,Entire home/apt,1 review
LARGE private bdrm & private bthrm!,2473,Private room,12 reviews
1BD with Private Entrance Brooklyn,2506,Private room,24 reviews
Sunny Private BR in Hip WBurg,2339,Private room,2 reviews
NYC loft living be a part of it! [AE5-1],1103,Shared room,3 reviews
Large Modern Room in Lux Apt 1 Block From Subway,2172,Private room,3 reviews
Private Room in Spacious Duplex Apt,1671,Private room,10 reviews
BUDGET ROOM- 15 MINUTES >MANHATTAN!,1972,Private room,82 reviews
Private clean room,2172,Private room,5 reviews
Studio Apartment with King Bed,3977,Entire home/apt,32 reviews
NEW 1112 Dean,1671,Entire home/apt,
"Sunlit apt, steps from subway hub",1638,Private room,4 reviews
Option of 2 Full Beds + Roof Deck,1938,Private room,147 reviews
"Clean, zen room in Williamsburg",2674,Private room,20 reviews
Sunny Room in WIlliamsburg,2005,Private room,7 reviews
Bright & Cozy Brownstone Studio,4177,Entire home/apt,13 reviews
BK ARTIST LOFT: Unique/Modern/Fun,3342,Entire home/apt,1 review
Minimalist 1-BD close to subway,3175,Entire home/apt,4 reviews
NEW Cozy Bohemian Oasis   :),1170,Shared room,
"Charming, warm room in Bushwick",1738,Private room,2 reviews
Private Bedroom Near Prospect Park,1838,Private room,4 reviews
Beautiful bedroom in Brooklyn,1838,Private room,2 reviews
Large bright bedroom in heart of WB,3342,Private room,6 reviews
Studio Apartment with King Bed,3977,Entire home/apt,32 reviews
NEW 1112 Dean,1671,Entire home/apt,
"Sunlit apt, steps from subway hub",1638,Private room,4 reviews
Option of 2 Full Beds + Roof Deck,1938,Private room,147 reviews
"Clean, zen room in Williamsburg",2674,Private room,20 reviews
Sunny Room in WIlliamsburg,2005,Private room,7 reviews
Bright & Cozy Brownstone Studio,4177,Entire home/apt,13 reviews
BK ARTIST LOFT: Unique/Modern/Fun,3342,Entire home/apt,1 review
Minimalist 1-BD close to subway,3175,Entire home/apt,4 reviews
NEW Cozy Bohemian Oasis   :),1170,Shared room,
"Charming, warm room in Bushwick",1738,Private room,2 reviews
Private Bedroom Near Prospect Park,1838,Private room,4 reviews
Beautiful bedroom in Brooklyn,1838,Private room,2 reviews
Much bigger than regular NYC ROOM,1671,Private room,18 reviews
"Cozy and Private """,1337,Private room,8 reviews
"Ft. Greene, Brooklyn:Middle Bedroom",2674,Private room,85 reviews
NEW Light cozy and welcoming plus close to all,1504,Private room,
